#########################################################
###Script version 1.0 / Baseline version 1.0###
!!Restricted - disclose with authorization!!
Date,'25-06-2025
Time,'10:29
Computer Name,vm-golden-image-pci
IP Adress,10.84.110.24/28
Operating System Name,Ubuntu 24.04.2 LTS_Linux 6.11.0-1015-azure
System Name,vm-golden-image-pci
Node Name,vm-golden-image-pci
Audit by,Taweesak_Pahumunto,Warawan
Location,Azure Cloud
Result, ID, Name, Operation, Expect Value, Current Value
PASS, 1_1_1, Create Separate Partition for /tmp, =, Partition /tmp shall be create separately, The /tmp partition exists in /etc/fstab
PASS, 1_1_2, Set nodev option for /tmp Partition, =, Partition /tmp shall be set nodev option, The option nodev is already set for /tmp partition
PASS, 1_1_3, Set nosuid option for /tmp Partition, =, Expect permission nosuid configured on /tmp, The option nosuid is already set for /tmp partition
PASS, 1_1_4, Set noexec option for /tmp Partition, =, Expect permission noexec option configured on /tmp, The option noexec is already set for /tmp partition
MANUAL, 1_1_5, Create Separate Partition for / var, =, Partition /var shall be create separately, The partition already separated for /var
PASS, 1_1_6, Bind Mount the /var/tmp directory to /tmp, =, Partition /var/tmp shall be create separately, The partition already separated for /var/tmp
MANUAL, 1_1_7, Create Separate Partition for /var/log, =, Partition /var/log shall be create separately, The partition already separated for /var/log
MANUAL, 1_1_8, Create Separate Partition for /var/log/audit, =, Partition /var/log/audit shall be create separately, The partition already separated for /var/log/audit
MANUAL, 1_1_9, Create Separate Partition for /home, =, Partition /home shall be create separately, The partition already separated for /home
PASS, 1_1_10, Add nodev Option to /home, =, Edit or create a file in the /etc/fstab.conf directory ending in .conf with a line that reads install mount -o remount nodev /home, The option nodev is already set for /home partition
PASS, 1_1_11, Add nodev Option to /dev/shm partition, =, Expect permission nodev configured on /dev/shm, The option nodev is already set for /dev/shm partition
PASS, 1_1_12, Add nosuid Option to /dev/shm partition, =, Expect permission nosuid noexec configured on /dev/shm, The option nosuid is already set for /dev/shm partition
PASS, 1_1_13, Add noexec Option to /dev/shm partition, =, Expect permission noexec configured on /dev/shm, The option noexec is already set for /dev/shm partition
PASS, 1_1_14, Set Sticky Bit on All World-Writable Directories, =, Prevents the ability to delete or rename files in world writable directories that are owned by another user, Found sticky bit on world-writeable directories
PASS, 1_1_15, Disable Mounting of cramfs Filesystem, =, The mounting cramfs filesystem shall be disabled, The filesystem cramfs is already disabled
PASS, 1_1_16, Disable Mounting of freevxfs Filesystems, =, The mounting freevxfs filesystem shall be disabled, The filesystem freevxfs is already disabled
PASS, 1_1_17, Disable Mounting of jffs2 Filesystems, =, The mounting jffs2 filesystem shall be disabled, The filesystem jffs2 is already disabled
PASS, 1_1_18, Disable Mounting of hfs Filesystems, =, The mounting hfs filesystem shall be disabled, The filesystem hfs is already disabled
PASS, 1_1_19, Disable Mounting of hfsplus Filesystems, =, The mounting hfsplus filesystem shall be disabled, The filesystem hfsplus is already disabled
PASS, 1_1_20, Disable Mounting of squashfs Filesystems, =, The mounting squashfs filesystem shall be disabled, The filesystem squashfs is already disabled
PASS, 1_1_21, Disable Mounting of udf Filesystems, =, The mounting udf filesystem shall be disabled, The filesystem udf is already disabled
PASS, 1_1_22, Disable Automounting, =, autofs allows automatic mounting of devices should be disabled, The Automounting already disabled
PASS, 1_2_1, Set User/Group Owner on boot loader configuration, =, Set User/Group Owner root:root, Owner on bootloader config is config
PASS, 1_2_2, Set Permissions on boot loader configuration, =,  Set Permissions og-rwx, Permissions on bootloader config is config
FAIL, 1_2_3, Require Authentication for Single-User Mode, =, Edit /usr/lib/systemd/system/rescue.service and /usr/lib/systemd/system/emergency.service and set ExecStart to use /sbin/sulogin or /usr/sbin/sulogin, The authentication is not required for single user mode
PASS, 1_3_1, Restrict Core Dumps, =, Run the following command to set the active kernel parameter:# sysctl -w fs.suid_dumpable=0, The core dumps are restricted
PASS, 1_3_2, Enable Randomized Virtual Memory Region Placement, =, Run the following command to set the active kernel parameter:# sysctl -w kernel.randomize_va_space=2, The address space layout randomization (ASLR) is enabled
PASS, 1_3_3, Disable Prelink, =, Run command to restore binaries to normal prelink -ua and uninstall prelink using the appropriate package manager apt purge prelink, The prelink is not installed
PASS, 2_1_1, Remove NIS service, =, Remove NIS service, The NIS Server is not installed
PASS, 2_1_2, Remove rsh server, =, Remove rsh server, The rsh client is not installed
PASS, 2_1_3, Remove rsh client, =, Remove rsh client, The rsh client is not installed
PASS, 2_1_4, Remove talk server, =, Remove talk serverr, The talk server is not installed
PASS, 2_1_5, Remove talk client, =, Remove talk client, The talk client is not installed
PASS, 2_1_6, Remove telnet server, =, Remove telnet servert, The telnet server is not installed
PASS, 2_1_7, Remove tftp server, =, Remove tftp server, The tftp server is not installed
PASS, 2_1_8, Remove xinetd, =, Remove xinetd, The xinetd is not installed
PASS, 2_1_9, Disable chargen service, =, Disable chargen service, chargen service is not installed
PASS, 2_1_10, Disable daytime service, =, Disable daytime service, The daytime service is not installed
PASS, 2_1_11, Disable echo service, =, Disable echo service, The echo service is not installed
PASS, 2_1_12, Disable discard service, =, Disable discard service, The discard service is not installed
PASS, 2_1_13, Disable time service, =, Disable time service, The time service is not installed
PASS, 3_1_1, Remove X Windows, =, Remove X Windows, The X Windows is not installed
PASS, 3_1_2, Disable Avahi Server, =, Disable Avahi Server, The Avahi Server is not installed
PASS, 3_1_3, Disable Print Server – CUPS, =, Disable Print Server – CUPS, The Print Server – CUPS is not installed
PASS, 3_1_4, Disable DHCP Server, =, Disable DHCP Server, The DHCP Server is not installed
PASS, 3_1_5, Configure Network Time Protocol (NTP), =, Configure Network Time Protocol (NTP), The ntp is already configured
PASS, 3_1_6, Disabled LDAP, =, Disabled LDAP, The rsh client is not installed
PASS, 3_1_7, Disable NFS and RPC, =, Disable NFS and RPC, The NFS and RPC is not installed
PASS, 3_1_8, Remove DNS Server, =, Remove DNS Server, The DNS Server is not installed
PASS, 3_1_9, Remove FTP Server, =, Remove FTP Server, The FTP Server is not installed
PASS, 3_1_10, Remove HTTP Server, =, Remove HTTP Server, The HTTP Server is not installed
PASS, 3_1_11, Remove IMAP and POP server, =, Remove IMAP and POP server, The IMAP and POP server is not installed
PASS, 3_1_12, Remove Samba daemon, =, Remove Samba daemon, The Samba daemon is not installed
PASS, , RNA=Remove, HTTP, Proxy, Server
PASS, 3_1_14, Remove SNMP Server, =, Remove SNMP Server, The SNMP Server is not installed
PASS, , Disabled rsync, =, Disabled rsync, The rsync is not installed
PASS, 3_1_16, Disabled Biosdevname, =, Disabled Biosdevname, The Biosdevname is not installed
PASS, 3_1_17, Remove SSHPASSpackage, =, Remove SSHPASSpackage, The SSHPASSpackage is not installed
PASS, 4_1_1, Disable IP Forwarding, =, Disable IP Forwarding, The IP forwarding is already disabled
PASS, 4_1_2, Disable Send Packet Redirects, =, Disable Send Packet Redirectsg, The send_redirects all already configured
PASS, 4_2_1, Disable Source Routed Packet Acceptance, =, Disable Source Routed Packet Acceptance, The IPv4 all accept source route is already disabled
PASS, 4_2_2, Disable ICMP Redirect Acceptance, =, Disable ICMP Redirect Acceptance, The IPv4 all accept redirects route is already disabled
PASS, 4_2_3, Disable Secure ICMP Redirect Acceptance, =, Disable Secure ICMP Redirect Acceptance, The IPv4 all accept secure redirects route is already disabled
PASS, 4_2_4, Log Suspicious Packets, =, Log Suspicious Packets, The IPv4 all log martains is already logged
PASS, 4_2_5, Enable Ignore Broadcast Requests, =, Enable Ignore Broadcast Requests, The IPv4 broadcast ICMP requests are already ignored
PASS, 4_2_6, Enable Bad Error Message Protection, =, Enable Bad Error Message Protection, The bogus ICMP responses are already ignored
PASS, 4_2_7, Enable RFC-recommended Source Route Validation, =, Enable RFC-recommended Source Route Validation, The Reverse Path Filtering is already enabled
PASS, 4_2_8, Enable TCP SYN Cookies, =, Enable TCP SYN Cookies, The TCP SYN Cookies is already enabled
PASS, 4_3_1, Disable IPv6, =, Disable IPv6, IPv6 is already disabled
PASS, 5_1_1, Install and Enable auditd Service, =, Install and Enable auditd Service, The auditd is already installed
PASS, 5_1_2, Enable Auditing for Processes That Start Prior to auditd, =, Enable Auditing for Processes That Start Prior to auditd, The auditing for processes that start prior to auditd is already enabled
PASS, 5_1_3, Record Events That Modify Date and Time Information, =, Record Events That Modify Date and Time Information, Ensure login and logout events are collected
PASS, 5_1_4, Record Events That Modify User/Group Information, =, Record Events That Modify User/Group Information, Ensure events that modify user/group information are collected
PASS, 5_1_5, Record Events That Modify the System's Network Environment, =, Record Events That Modify the System's Network Environment, Ensure events that modify user/group information are collected
